"Step","lyric-armadillo-72penalty_weight0 - make_span_mean","lyric-armadillo-72penalty_weight0 - make_span_mean__MIN","lyric-armadillo-72penalty_weight0 - make_span_mean__MAX","magic-serenity-71penalty_weight0 - make_span_mean","magic-serenity-71penalty_weight0 - make_span_mean__MIN","magic-serenity-71penalty_weight0 - make_span_mean__MAX","dry-microwave-70penalty_weight0 - make_span_mean","dry-microwave-70penalty_weight0 - make_span_mean__MIN","dry-microwave-70penalty_weight0 - make_span_mean__MAX"
"114","1496.07","1496.07","1496.07","1549.69","1549.69","1549.69","1553.49","1553.49","1553.49"
"116","1499.32","1499.32","1499.32","1553.87","1553.87","1553.87","1554.9","1554.9","1554.9"
"118","1487.17","1487.17","1487.17","1557.34","1557.34","1557.34","1562.19","1562.19","1562.19"
"120","1491.37","1491.37","1491.37","1548.65","1548.65","1548.65","1560.91","1560.91","1560.91"
"122","1495.49","1495.49","1495.49","1546.18","1546.18","1546.18","1557.11","1557.11","1557.11"
"124","1492.76","1492.76","1492.76","1541.96","1541.96","1541.96","1545","1545","1545"
"126","1494.33","1494.33","1494.33","1533.19","1533.19","1533.19","1540.65","1540.65","1540.65"
"128","1492.61","1492.61","1492.61","1529.91","1529.91","1529.91","1533.54","1533.54","1533.54"
"130","1494.63","1494.63","1494.63","1535.45","1535.45","1535.45","1523.17","1523.17","1523.17"
"132","1488.61","1488.61","1488.61","1528.01","1528.01","1528.01","1520.51","1520.51","1520.51"
"134","1477.85","1477.85","1477.85","1521.71","1521.71","1521.71","1525.68","1525.68","1525.68"
"136","1482.43","1482.43","1482.43","1519.59","1519.59","1519.59","1531.39","1531.39","1531.39"
"138","1478.67","1478.67","1478.67","1517.72","1517.72","1517.72","1534.25","1534.25","1534.25"
"140","1471.46","1471.46","1471.46","1513.08","1513.08","1513.08","1532.29","1532.29","1532.29"
"142","1473.27","1473.27","1473.27","1504.66","1504.66","1504.66","1530.88","1530.88","1530.88"
"144","1483.24","1483.24","1483.24","1507.28","1507.28","1507.28","1532.29","1532.29","1532.29"
"146","1488.05","1488.05","1488.05","1509.07","1509.07","1509.07","1518.09","1518.09","1518.09"
"148","1483.77","1483.77","1483.77","1504.68","1504.68","1504.68","1512.97","1512.97","1512.97"
"150","1480.7","1480.7","1480.7","1505.48","1505.48","1505.48","1504.95","1504.95","1504.95"
"152","1476.2","1476.2","1476.2","1510.11","1510.11","1510.11","1512.4","1512.4","1512.4"
"154","1479.07","1479.07","1479.07","1507.1","1507.1","1507.1","1517.36","1517.36","1517.36"
"156","1476.38","1476.38","1476.38","1504.85","1504.85","1504.85","1514.15","1514.15","1514.15"
"158","1470.85","1470.85","1470.85","1510.48","1510.48","1510.48","1518.59","1518.59","1518.59"
"160","1465.47","1465.47","1465.47","1509.89","1509.89","1509.89","1518.41","1518.41","1518.41"
"162","1465.95","1465.95","1465.95","1506.55","1506.55","1506.55","1518.09","1518.09","1518.09"
"164","1460.88","1460.88","1460.88","1502.31","1502.31","1502.31","1511.74","1511.74","1511.74"
"166","1453.41","1453.41","1453.41","1511.98","1511.98","1511.98","1508.78","1508.78","1508.78"
"168","1442.35","1442.35","1442.35","1506.07","1506.07","1506.07","1507.53","1507.53","1507.53"
"170","1435.02","1435.02","1435.02","1511.34","1511.34","1511.34","1512.04","1512.04","1512.04"
"172","1431.16","1431.16","1431.16","1507.75","1507.75","1507.75","1518.38","1518.38","1518.38"
"174","1426.58","1426.58","1426.58","1506.75","1506.75","1506.75","1529.8","1529.8","1529.8"
"176","1422.06","1422.06","1422.06","1508.5","1508.5","1508.5","1537","1537","1537"
"178","1416.93","1416.93","1416.93","1500.55","1500.55","1500.55","1530.81","1530.81","1530.81"
"180","1417.67","1417.67","1417.67","1501.63","1501.63","1501.63","1532.61","1532.61","1532.61"
"182","1410.06","1410.06","1410.06","1490.12","1490.12","1490.12","1532.83","1532.83","1532.83"
"184","1405.94","1405.94","1405.94","1507.24","1507.24","1507.24","1535.51","1535.51","1535.51"
"186","1401.08","1401.08","1401.08","1512.42","1512.42","1512.42","1533.24","1533.24","1533.24"
"188","1400.17","1400.17","1400.17","1523.49","1523.49","1523.49","1528.09","1528.09","1528.09"
"190","1398","1398","1398","1533.94","1533.94","1533.94","1536.64","1536.64","1536.64"
"192","1396.31","1396.31","1396.31","1545.36","1545.36","1545.36","1539.46","1539.46","1539.46"
"194","1402.76","1402.76","1402.76","1545.23","1545.23","1545.23","1538.81","1538.81","1538.81"
"196","1403.5","1403.5","1403.5","1528.48","1528.48","1528.48","1536.58","1536.58","1536.58"
"198","1413.26","1413.26","1413.26","1528.32","1528.32","1528.32","1533.42","1533.42","1533.42"
"200","1427.9","1427.9","1427.9","1530.44","1530.44","1530.44","1529.68","1529.68","1529.68"
"202","1439","1439","1439","1522.35","1522.35","1522.35","1521.28","1521.28","1521.28"
"204","1441.75","1441.75","1441.75","1531.61","1531.61","1531.61","1527.37","1527.37","1527.37"
"206","1440.33","1440.33","1440.33","1548.36","1548.36","1548.36","1512.33","1512.33","1512.33"
"208","1444.84","1444.84","1444.84","1566.31","1566.31","1566.31","1507.77","1507.77","1507.77"
"210","1438.67","1438.67","1438.67","1567.63","1567.63","1567.63","1497.84","1497.84","1497.84"
"212","1420.58","1420.58","1420.58","1568.19","1568.19","1568.19","1498.12","1498.12","1498.12"
"214","1415.43","1415.43","1415.43","1564.97","1564.97","1564.97","1487.78","1487.78","1487.78"
"216","1420.04","1420.04","1420.04","1563.49","1563.49","1563.49","1484.13","1484.13","1484.13"
"218","1419.07","1419.07","1419.07","1548.32","1548.32","1548.32","1480.12","1480.12","1480.12"
"220","1418.53","1418.53","1418.53","1543.79","1543.79","1543.79","1485.09","1485.09","1485.09"
"222","1414.85","1414.85","1414.85","1549.03","1549.03","1549.03","1488.93","1488.93","1488.93"
"224","1425.44","1425.44","1425.44","1549.68","1549.68","1549.68","1502.8","1502.8","1502.8"
"226","1416.18","1416.18","1416.18","1551.38","1551.38","1551.38","1513.36","1513.36","1513.36"
"228","1406.99","1406.99","1406.99","1557.94","1557.94","1557.94","1510.63","1510.63","1510.63"
"230","1399.06","1399.06","1399.06","1567.83","1567.83","1567.83","1518.77","1518.77","1518.77"
"232","1400.1","1400.1","1400.1","1582.5","1582.5","1582.5","1518.75","1518.75","1518.75"
"234","1402.13","1402.13","1402.13","1583.64","1583.64","1583.64","1514.68","1514.68","1514.68"
"236","1399.97","1399.97","1399.97","1583.79","1583.79","1583.79","1510.08","1510.08","1510.08"
"238","1394.83","1394.83","1394.83","1585.34","1585.34","1585.34","1513.13","1513.13","1513.13"
"240","1397.07","1397.07","1397.07","1572.68","1572.68","1572.68","1513.39","1513.39","1513.39"
"242","1403.82","1403.82","1403.82","1567.71","1567.71","1567.71","1506.65","1506.65","1506.65"
"244","1398.85","1398.85","1398.85","1552.26","1552.26","1552.26","1502.61","1502.61","1502.61"
"246","1399.58","1399.58","1399.58","1545.39","1545.39","1545.39","1496.08","1496.08","1496.08"
"248","1394.83","1394.83","1394.83","1547.59","1547.59","1547.59","1484.3","1484.3","1484.3"
"250","1397.04","1397.04","1397.04","1545.65","1545.65","1545.65","1477.83","1477.83","1477.83"
"252","1394.27","1394.27","1394.27","1548.12","1548.12","1548.12","1473.66","1473.66","1473.66"
"254","1390.03","1390.03","1390.03","1548.69","1548.69","1548.69","1469.76","1469.76","1469.76"
"256","","","","1546.79","1546.79","1546.79","1472.2","1472.2","1472.2"
