"Step","tough-morning-75penalty_weight0.25 - custom_metrics.total_energy_costs_mean","tough-morning-75penalty_weight0.25 - custom_metrics.total_energy_costs_mean__MIN","tough-morning-75penalty_weight0.25 - custom_metrics.total_energy_costs_mean__MAX","elated-cherry-74penalty_weight0.25 - custom_metrics.total_energy_costs_mean","elated-cherry-74penalty_weight0.25 - custom_metrics.total_energy_costs_mean__MIN","elated-cherry-74penalty_weight0.25 - custom_metrics.total_energy_costs_mean__MAX","whole-shadow-73penalty_weight0.25 - custom_metrics.total_energy_costs_mean","whole-shadow-73penalty_weight0.25 - custom_metrics.total_energy_costs_mean__MIN","whole-shadow-73penalty_weight0.25 - custom_metrics.total_energy_costs_mean__MAX"
"21","1217.3314081202384","1217.3314081202384","1217.3314081202384","1207.172443752568","1207.172443752568","1207.172443752568","1216.020000568954","1216.020000568954","1216.020000568954"
"23","1212.2625045800796","1212.2625045800796","1212.2625045800796","1202.897749546417","1202.897749546417","1202.897749546417","1214.5828617346774","1214.5828617346774","1214.5828617346774"
"25","1210.7235427474154","1210.7235427474154","1210.7235427474154","1204.0536599393113","1204.0536599393113","1204.0536599393113","1213.8713968897175","1213.8713968897175","1213.8713968897175"
"27","1209.1132552391182","1209.1132552391182","1209.1132552391182","1205.420646357113","1205.420646357113","1205.420646357113","1214.960223273382","1214.960223273382","1214.960223273382"
"29","1209.201271002307","1209.201271002307","1209.201271002307","1204.1119021651862","1204.1119021651862","1204.1119021651862","1212.8130821380028","1212.8130821380028","1212.8130821380028"
"31","1208.655669877042","1208.655669877042","1208.655669877042","1203.1525671681886","1203.1525671681886","1203.1525671681886","1212.1586950311344","1212.1586950311344","1212.1586950311344"
"33","1207.7693439675056","1207.7693439675056","1207.7693439675056","1204.6887969023608","1204.6887969023608","1204.6887969023608","1209.6269234851593","1209.6269234851593","1209.6269234851593"
"35","1209.3370483927042","1209.3370483927042","1209.3370483927042","1207.476275193602","1207.476275193602","1207.476275193602","1208.7111742579891","1208.7111742579891","1208.7111742579891"
"37","1209.2089158200836","1209.2089158200836","1209.2089158200836","1205.8302038119919","1205.8302038119919","1205.8302038119919","1207.3457750798113","1207.3457750798113","1207.3457750798113"
"39","1209.422451926541","1209.422451926541","1209.422451926541","1205.4032160128957","1205.4032160128957","1205.4032160128957","1207.5668181844042","1207.5668181844042","1207.5668181844042"
"41","1207.4070819483509","1207.4070819483509","1207.4070819483509","1206.3259103107118","1206.3259103107118","1206.3259103107118","1206.9807743528147","1206.9807743528147","1206.9807743528147"
"43","1207.9642489332107","1207.9642489332107","1207.9642489332107","1208.1952320352748","1208.1952320352748","1208.1952320352748","1208.6583880171947","1208.6583880171947","1208.6583880171947"
"45","1207.3299312924735","1207.3299312924735","1207.3299312924735","1206.9002900622684","1206.9002900622684","1206.9002900622684","1207.3210999209782","1207.3210999209782","1207.3210999209782"
"47","1205.2985912855195","1205.2985912855195","1205.2985912855195","1206.8419659259723","1206.8419659259723","1206.8419659259723","1207.6734064955585","1207.6734064955585","1207.6734064955585"
"49","1204.3570526598598","1204.3570526598598","1204.3570526598598","1208.0751433448172","1208.0751433448172","1208.0751433448172","1207.4761067263014","1207.4761067263014","1207.4761067263014"
"51","1204.8196525365865","1204.8196525365865","1204.8196525365865","1210.0426433859086","1210.0426433859086","1210.0426433859086","1207.370275721465","1207.370275721465","1207.370275721465"
"53","1206.4671660081542","1206.4671660081542","1206.4671660081542","1209.84435757183","1209.84435757183","1209.84435757183","1206.1356758700251","1206.1356758700251","1206.1356758700251"
"55","1205.999248070297","1205.999248070297","1205.999248070297","1210.4606218541576","1210.4606218541576","1210.4606218541576","1202.655993308468","1202.655993308468","1202.655993308468"
"57","1207.0444889496473","1207.0444889496473","1207.0444889496473","1211.3699109492045","1211.3699109492045","1211.3699109492045","1198.5384947593004","1198.5384947593004","1198.5384947593004"
