"Step","fanciful-leaf-84penalty_weight1 - make_span_mean","fanciful-leaf-84penalty_weight1 - make_span_mean__MIN","fanciful-leaf-84penalty_weight1 - make_span_mean__MAX","spring-brook-83penalty_weight1 - make_span_mean","spring-brook-83penalty_weight1 - make_span_mean__MIN","spring-brook-83penalty_weight1 - make_span_mean__MAX","exalted-resonance-82penalty_weight1 - make_span_mean","exalted-resonance-82penalty_weight1 - make_span_mean__MIN","exalted-resonance-82penalty_weight1 - make_span_mean__MAX"
"114","1589.53","1589.53","1589.53","1676.32","1676.32","1676.32","1664.63","1664.63","1664.63"
"116","1586.9","1586.9","1586.9","1677.69","1677.69","1677.69","1657.06","1657.06","1657.06"
"118","1598.56","1598.56","1598.56","1671.96","1671.96","1671.96","1662.02","1662.02","1662.02"
"120","1603.33","1603.33","1603.33","1667.44","1667.44","1667.44","1661.88","1661.88","1661.88"
"122","1615.03","1615.03","1615.03","1671.86","1671.86","1671.86","1666.14","1666.14","1666.14"
"124","1634.42","1634.42","1634.42","1656.68","1656.68","1656.68","1672.12","1672.12","1672.12"
"126","1640.43","1640.43","1640.43","1641.04","1641.04","1641.04","1677.98","1677.98","1677.98"
"128","1652.26","1652.26","1652.26","1634.24","1634.24","1634.24","1679.44","1679.44","1679.44"
"130","1653.95","1653.95","1653.95","1625.79","1625.79","1625.79","1684.6","1684.6","1684.6"
"132","1662.22","1662.22","1662.22","1623.63","1623.63","1623.63","1688.76","1688.76","1688.76"
"134","1656.02","1656.02","1656.02","1610","1610","1610","1681.88","1681.88","1681.88"
"136","1658.31","1658.31","1658.31","1603.79","1603.79","1603.79","1683.67","1683.67","1683.67"
"138","1660.58","1660.58","1660.58","1594.56","1594.56","1594.56","1686.43","1686.43","1686.43"
"140","1653.92","1653.92","1653.92","1600.21","1600.21","1600.21","1691.99","1691.99","1691.99"
"142","1648.2","1648.2","1648.2","1600.31","1600.31","1600.31","1687.94","1687.94","1687.94"
"144","1650.38","1650.38","1650.38","1609.63","1609.63","1609.63","1682.08","1682.08","1682.08"
"146","1648.77","1648.77","1648.77","1612.5","1612.5","1612.5","1691.78","1691.78","1691.78"
"148","1654.76","1654.76","1654.76","1617.25","1617.25","1617.25","1677.89","1677.89","1677.89"
"150","1658.2","1658.2","1658.2","1618.5","1618.5","1618.5","1677.53","1677.53","1677.53"
"152","1663.96","1663.96","1663.96","1627.47","1627.47","1627.47","1674.19","1674.19","1674.19"
"154","1665.44","1665.44","1665.44","1631.55","1631.55","1631.55","1683.79","1683.79","1683.79"
"156","1678.8","1678.8","1678.8","1649.54","1649.54","1649.54","1679.57","1679.57","1679.57"
"158","1686.39","1686.39","1686.39","1667.37","1667.37","1667.37","1683.8","1683.8","1683.8"
"160","1697.8","1697.8","1697.8","1694.09","1694.09","1694.09","1679.4","1679.4","1679.4"
"162","1702.25","1702.25","1702.25","1714.98","1714.98","1714.98","1677.61","1677.61","1677.61"
"164","1707.55","1707.55","1707.55","1729.01","1729.01","1729.01","1676.57","1676.57","1676.57"
"166","1716.43","1716.43","1716.43","1745.64","1745.64","1745.64","1682.14","1682.14","1682.14"
"168","1714.46","1714.46","1714.46","1750.7","1750.7","1750.7","1696.81","1696.81","1696.81"
"170","1690.46","1690.46","1690.46","1752.71","1752.71","1752.71","1700.01","1700.01","1700.01"
"172","1680.66","1680.66","1680.66","1749.16","1749.16","1749.16","1708.38","1708.38","1708.38"
"174","1668.2","1668.2","1668.2","1749.01","1749.01","1749.01","1719.36","1719.36","1719.36"
"176","1654.98","1654.98","1654.98","1737.63","1737.63","1737.63","1724.28","1724.28","1724.28"
"178","1640.67","1640.67","1640.67","1727","1727","1727","1712.73","1712.73","1712.73"
"180","1646.41","1646.41","1646.41","1714.13","1714.13","1714.13","1716.34","1716.34","1716.34"
"182","1654.08","1654.08","1654.08","1720.6","1720.6","1720.6","1720.69","1720.69","1720.69"
"184","1663.5","1663.5","1663.5","1718.82","1718.82","1718.82","1717.05","1717.05","1717.05"
"186","1672.71","1672.71","1672.71","1718.87","1718.87","1718.87","1734.41","1734.41","1734.41"
"188","1681.21","1681.21","1681.21","1730.63","1730.63","1730.63","1741.57","1741.57","1741.57"
"190","1688.57","1688.57","1688.57","1729.93","1729.93","1729.93","1737.64","1737.64","1737.64"
"192","1686.17","1686.17","1686.17","1738.18","1738.18","1738.18","1742.31","1742.31","1742.31"
"194","1687.59","1687.59","1687.59","1732.91","1732.91","1732.91","1747.54","1747.54","1747.54"
"196","1688.27","1688.27","1688.27","1731.86","1731.86","1731.86","1744.28","1744.28","1744.28"
"198","1682.87","1682.87","1682.87","1723.01","1723.01","1723.01","1732.34","1732.34","1732.34"
"200","1682.68","1682.68","1682.68","1720.34","1720.34","1720.34","1728.44","1728.44","1728.44"
"202","1677.18","1677.18","1677.18","1715.84","1715.84","1715.84","1733.25","1733.25","1733.25"
"204","1681.15","1681.15","1681.15","1716.3","1716.3","1716.3","1729.42","1729.42","1729.42"
