"Step","happy-wildflower-78penalty_weight0.5 - custom_metrics.total_energy_costs_mean","happy-wildflower-78penalty_weight0.5 - custom_metrics.total_energy_costs_mean__MIN","happy-wildflower-78penalty_weight0.5 - custom_metrics.total_energy_costs_mean__MAX","magic-oath-77penalty_weight0.5 - custom_metrics.total_energy_costs_mean","magic-oath-77penalty_weight0.5 - custom_metrics.total_energy_costs_mean__MIN","magic-oath-77penalty_weight0.5 - custom_metrics.total_energy_costs_mean__MAX","distinctive-shape-76penalty_weight0.5 - custom_metrics.total_energy_costs_mean","distinctive-shape-76penalty_weight0.5 - custom_metrics.total_energy_costs_mean__MIN","distinctive-shape-76penalty_weight0.5 - custom_metrics.total_energy_costs_mean__MAX"
"29","1215.7584106394406","1215.7584106394406","1215.7584106394406","1208.672446805955","1208.672446805955","1208.672446805955","1207.57103648576","1207.57103648576","1207.57103648576"
"31","1213.5261232797038","1213.5261232797038","1213.5261232797038","1208.6254544236174","1208.6254544236174","1208.6254544236174","1208.8667337642628","1208.8667337642628","1208.8667337642628"
"33","1212.7292107121402","1212.7292107121402","1212.7292107121402","1207.297705278629","1207.297705278629","1207.297705278629","1209.5425827670128","1209.5425827670128","1209.5425827670128"
"35","1212.0845936466794","1212.0845936466794","1212.0845936466794","1208.1547223630557","1208.1547223630557","1208.1547223630557","1209.400031589594","1209.400031589594","1209.400031589594"
"37","1210.6273208458447","1210.6273208458447","1210.6273208458447","1206.8565378828582","1206.8565378828582","1206.8565378828582","1208.4887388943323","1208.4887388943323","1208.4887388943323"
"39","1208.3368714827573","1208.3368714827573","1208.3368714827573","1205.5101618453073","1205.5101618453073","1205.5101618453073","1208.9052807630303","1208.9052807630303","1208.9052807630303"
"41","1208.2628020355908","1208.2628020355908","1208.2628020355908","1206.9066827164393","1206.9066827164393","1206.9066827164393","1207.9893467585418","1207.9893467585418","1207.9893467585418"
"43","1209.2419531529536","1209.2419531529536","1209.2419531529536","1208.516309621645","1208.516309621645","1208.516309621645","1209.4474080348955","1209.4474080348955","1209.4474080348955"
"45","1207.5364941935075","1207.5364941935075","1207.5364941935075","1209.407440168157","1209.407440168157","1209.407440168157","1206.893343180453","1206.893343180453","1206.893343180453"
"47","1207.250170872712","1207.250170872712","1207.250170872712","1209.2138971078164","1209.2138971078164","1209.2138971078164","1206.908435976862","1206.908435976862","1206.908435976862"
"49","1206.8868990359388","1206.8868990359388","1206.8868990359388","1208.8775609318202","1208.8775609318202","1208.8775609318202","1206.3157244112901","1206.3157244112901","1206.3157244112901"
"51","1204.8356322849822","1204.8356322849822","1204.8356322849822","1209.113908000126","1209.113908000126","1209.113908000126","1205.7820079969651","1205.7820079969651","1205.7820079969651"
"53","1204.3564276732939","1204.3564276732939","1204.3564276732939","1210.269673613174","1210.269673613174","1210.269673613174","1203.6054548756197","1203.6054548756197","1203.6054548756197"
"55","1202.3869334481774","1202.3869334481774","1202.3869334481774","1209.4887257262062","1209.4887257262062","1209.4887257262062","1201.1325090463693","1201.1325090463693","1201.1325090463693"
"57","1201.2444461895877","1201.2444461895877","1201.2444461895877","1207.5436445712294","1207.5436445712294","1207.5436445712294","1202.0953306697847","1202.0953306697847","1202.0953306697847"
"59","1201.338653974776","1201.338653974776","1201.338653974776","1206.7277708790336","1206.7277708790336","1206.7277708790336","1200.8386911306377","1200.8386911306377","1200.8386911306377"
"61","1202.2470476593858","1202.2470476593858","1202.2470476593858","1205.680663394127","1205.680663394127","1205.680663394127","1201.7238833802187","1201.7238833802187","1201.7238833802187"
"63","1204.3313717419476","1204.3313717419476","1204.3313717419476","1204.5278936656441","1204.5278936656441","1204.5278936656441","1202.0975567405249","1202.0975567405249","1202.0975567405249"
"65","1201.1068431488443","1201.1068431488443","1201.1068431488443","1202.8049498087678","1202.8049498087678","1202.8049498087678","1202.481909672219","1202.481909672219","1202.481909672219"
"67","1199.9331629168375","1199.9331629168375","1199.9331629168375","1203.1607292505605","1203.1607292505605","1203.1607292505605","1203.972518421468","1203.972518421468","1203.972518421468"
"69","1198.3143483042006","1198.3143483042006","1198.3143483042006","1204.619308398394","1204.619308398394","1204.619308398394","1205.3272971615509","1205.3272971615509","1205.3272971615509"
"71","1195.6233666624519","1195.6233666624519","1195.6233666624519","1205.628351205866","1205.628351205866","1205.628351205866","1206.5090862787238","1206.5090862787238","1206.5090862787238"
"73","1193.8822999494262","1193.8822999494262","1193.8822999494262","1205.8803171065517","1205.8803171065517","1205.8803171065517","1204.9672926952612","1204.9672926952612","1204.9672926952612"
"75","1192.640188453393","1192.640188453393","1192.640188453393","1207.0738937383437","1207.0738937383437","1207.0738937383437","1203.990866431709","1203.990866431709","1203.990866431709"
"77","1193.10020890097","1193.10020890097","1193.10020890097","1205.1314087966616","1205.1314087966616","1205.1314087966616","1204.274078265954","1204.274078265954","1204.274078265954"
"79","1193.143219135822","1193.143219135822","1193.143219135822","1203.8972351676828","1203.8972351676828","1203.8972351676828","1203.0519049593825","1203.0519049593825","1203.0519049593825"
"81","1194.6203332996174","1194.6203332996174","1194.6203332996174","1200.941656475013","1200.941656475013","1200.941656475013","1200.7163880804117","1200.7163880804117","1200.7163880804117"
"83","1194.9037481935704","1194.9037481935704","1194.9037481935704","1198.6024733128927","1198.6024733128927","1198.6024733128927","1199.1989895217619","1199.1989895217619","1199.1989895217619"
"85","1195.4712813793972","1195.4712813793972","1195.4712813793972","1196.5502045484711","1196.5502045484711","1196.5502045484711","1198.294225242595","1198.294225242595","1198.294225242595"
"87","1195.2376939185128","1195.2376939185128","1195.2376939185128","1194.5126535164516","1194.5126535164516","1194.5126535164516","1195.7124904447319","1195.7124904447319","1195.7124904447319"
"89","1196.8350086955145","1196.8350086955145","1196.8350086955145","1193.8659623478832","1193.8659623478832","1193.8659623478832","1194.7535799728162","1194.7535799728162","1194.7535799728162"
"91","1196.5468574580395","1196.5468574580395","1196.5468574580395","1192.2570451749527","1192.2570451749527","1192.2570451749527","1194.8907347536108","1194.8907347536108","1194.8907347536108"
"93","1195.8542675506526","1195.8542675506526","1195.8542675506526","1192.0837212061822","1192.0837212061822","1192.0837212061822","1195.0523468122765","1195.0523468122765","1195.0523468122765"
"95","1195.6879632424057","1195.6879632424057","1195.6879632424057","1192.008933188987","1192.008933188987","1192.008933188987","1195.923941239687","1195.923941239687","1195.923941239687"
"97","1195.60265694282","1195.60265694282","1195.60265694282","1190.3662742706317","1190.3662742706317","1190.3662742706317","1197.216371527009","1197.216371527009","1197.216371527009"
"99","1195.772430448525","1195.772430448525","1195.772430448525","1189.5458914372402","1189.5458914372402","1189.5458914372402","1197.6358971236205","1197.6358971236205","1197.6358971236205"
"101","1195.1125050573692","1195.1125050573692","1195.1125050573692","1188.4232502734133","1188.4232502734133","1188.4232502734133","1197.1355690868281","1197.1355690868281","1197.1355690868281"
"103","1194.6568773145364","1194.6568773145364","1194.6568773145364","1188.0773745013744","1188.0773745013744","1188.0773745013744","1196.2309028005177","1196.2309028005177","1196.2309028005177"
"105","1194.5896435091822","1194.5896435091822","1194.5896435091822","1187.331577934064","1187.331577934064","1187.331577934064","1196.4734283307514","1196.4734283307514","1196.4734283307514"
"107","1193.444629554003","1193.444629554003","1193.444629554003","1187.810638979675","1187.810638979675","1187.810638979675","1196.3739295761286","1196.3739295761286","1196.3739295761286"
"109","1193.453227559503","1193.453227559503","1193.453227559503","1187.4385057970092","1187.4385057970092","1187.4385057970092","1194.6192579859019","1194.6192579859019","1194.6192579859019"
"111","1192.0819367386287","1192.0819367386287","1192.0819367386287","1187.905839020766","1187.905839020766","1187.905839020766","1194.308064525713","1194.308064525713","1194.308064525713"
"113","1191.5406456395992","1191.5406456395992","1191.5406456395992","1188.1468586149122","1188.1468586149122","1188.1468586149122","1194.1997910105251","1194.1997910105251","1194.1997910105251"
"115","1191.1094844865186","1191.1094844865186","1191.1094844865186","1187.4916773240186","1187.4916773240186","1187.4916773240186","1194.5931926826179","1194.5931926826179","1194.5931926826179"
"117","1191.0505612605489","1191.0505612605489","1191.0505612605489","1187.7909864715357","1187.7909864715357","1187.7909864715357","1193.7389405822291","1193.7389405822291","1193.7389405822291"
"119","1190.537010219047","1190.537010219047","1190.537010219047","1187.8313567594898","1187.8313567594898","1187.8313567594898","1194.911502819483","1194.911502819483","1194.911502819483"
"121","1190.6160153238293","1190.6160153238293","1190.6160153238293","1188.8766429181017","1188.8766429181017","1188.8766429181017","1195.183476881499","1195.183476881499","1195.183476881499"
"123","1191.726900787053","1191.726900787053","1191.726900787053","1189.0806640262979","1189.0806640262979","1189.0806640262979","1195.2329597654639","1195.2329597654639","1195.2329597654639"
"125","1191.889815048835","1191.889815048835","1191.889815048835","1187.7783015172104","1187.7783015172104","1187.7783015172104","1195.6802026709227","1195.6802026709227","1195.6802026709227"
"127","1191.6576625944303","1191.6576625944303","1191.6576625944303","1187.8362585264083","1187.8362585264083","1187.8362585264083","1195.9726251698955","1195.9726251698955","1195.9726251698955"
"129","1191.2992721275718","1191.2992721275718","1191.2992721275718","1189.0520419761665","1189.0520419761665","1189.0520419761665","1195.9037945949358","1195.9037945949358","1195.9037945949358"
"131","1191.8124640642282","1191.8124640642282","1191.8124640642282","1188.4701552738877","1188.4701552738877","1188.4701552738877","1195.814025836836","1195.814025836836","1195.814025836836"
"133","1192.0236299364667","1192.0236299364667","1192.0236299364667","1187.655605623162","1187.655605623162","1187.655605623162","1196.2959091696425","1196.2959091696425","1196.2959091696425"
"135","1191.0112607674555","1191.0112607674555","1191.0112607674555","1188.1516379523969","1188.1516379523969","1188.1516379523969","1196.0102316686152","1196.0102316686152","1196.0102316686152"
"137","1191.5239842368112","1191.5239842368112","1191.5239842368112","1190.0455657552857","1190.0455657552857","1190.0455657552857","1195.591948070297","1195.591948070297","1195.591948070297"
"139","1191.3391582261274","1191.3391582261274","1191.3391582261274","1190.5051185415803","1190.5051185415803","1190.5051185415803","1194.7379545026388","1194.7379545026388","1194.7379545026388"
"141","1191.270892793248","1191.270892793248","1191.270892793248","1191.6652779498681","1191.6652779498681","1191.6652779498681","1194.677842712646","1194.677842712646","1194.677842712646"
"143","1190.9026001548818","1190.9026001548818","1190.9026001548818","1192.6971227297147","1192.6971227297147","1192.6971227297147","1194.0851332332388","1194.0851332332388","1194.0851332332388"
"145","1191.0354226159243","1191.0354226159243","1191.0354226159243","1193.4302287479843","1193.4302287479843","1193.4302287479843","1193.458071368966","1193.458071368966","1193.458071368966"
"147","1191.8641326611246","1191.8641326611246","1191.8641326611246","1193.9092977305047","1193.9092977305047","1193.9092977305047","1193.4683531181836","1193.4683531181836","1193.4683531181836"
"149","1191.7326965420234","1191.7326965420234","1191.7326965420234","1193.2745926699745","1193.2745926699745","1193.2745926699745","1193.8954156304324","1193.8954156304324","1193.8954156304324"
