"Step","fanciful-leaf-84penalty_weight1 - custom_metrics.total_energy_costs_mean","fanciful-leaf-84penalty_weight1 - custom_metrics.total_energy_costs_mean__MIN","fanciful-leaf-84penalty_weight1 - custom_metrics.total_energy_costs_mean__MAX","spring-brook-83penalty_weight1 - custom_metrics.total_energy_costs_mean","spring-brook-83penalty_weight1 - custom_metrics.total_energy_costs_mean__MIN","spring-brook-83penalty_weight1 - custom_metrics.total_energy_costs_mean__MAX","exalted-resonance-82penalty_weight1 - custom_metrics.total_energy_costs_mean","exalted-resonance-82penalty_weight1 - custom_metrics.total_energy_costs_mean__MIN","exalted-resonance-82penalty_weight1 - custom_metrics.total_energy_costs_mean__MAX"
"21","1215.4561623225964","1215.4561623225964","1215.4561623225964","1213.8008792995538","1213.8008792995538","1213.8008792995538","1211.5048902582414","1211.5048902582414","1211.5048902582414"
"23","1216.0520382495174","1216.0520382495174","1216.0520382495174","1213.2509865537183","1213.2509865537183","1213.2509865537183","1208.6477568448333","1208.6477568448333","1208.6477568448333"
"25","1215.61828822265","1215.61828822265","1215.61828822265","1212.3553192907034","1212.3553192907034","1212.3553192907034","1206.8877398173024","1206.8877398173024","1206.8877398173024"
"27","1214.2547629705718","1214.2547629705718","1214.2547629705718","1212.4999931599073","1212.4999931599073","1212.4999931599073","1205.921801548819","1205.921801548819","1205.921801548819"
"29","1213.320970370136","1213.320970370136","1213.320970370136","1211.8258138571923","1211.8258138571923","1211.8258138571923","1208.8473603849918","1208.8473603849918","1208.8473603849918"
"31","1210.7565851439765","1210.7565851439765","1210.7565851439765","1210.7293308973667","1210.7293308973667","1210.7293308973667","1208.865093735183","1208.865093735183","1208.865093735183"
"33","1208.6057336694375","1208.6057336694375","1208.6057336694375","1209.801055729051","1209.801055729051","1209.801055729051","1210.359734775737","1210.359734775737","1210.359734775737"
"35","1207.2764648670857","1207.2764648670857","1207.2764648670857","1211.1018157789924","1211.1018157789924","1211.1018157789924","1212.1904226506936","1212.1904226506936","1212.1904226506936"
"37","1205.3542938616174","1205.3542938616174","1205.3542938616174","1210.4376051679992","1210.4376051679992","1210.4376051679992","1211.0826790940982","1211.0826790940982","1211.0826790940982"
"39","1204.7515539874194","1204.7515539874194","1204.7515539874194","1210.2978345165468","1210.2978345165468","1210.2978345165468","1209.8818320732053","1209.8818320732053","1209.8818320732053"
"41","1203.555849126023","1203.555849126023","1203.555849126023","1209.643508136043","1209.643508136043","1209.643508136043","1209.1493015614624","1209.1493015614624","1209.1493015614624"
"43","1202.6689181622778","1202.6689181622778","1202.6689181622778","1208.9043608117074","1208.9043608117074","1208.9043608117074","1206.9870318614276","1206.9870318614276","1206.9870318614276"
"45","1204.1605894901536","1204.1605894901536","1204.1605894901536","1207.495519230647","1207.495519230647","1207.495519230647","1207.3119635142393","1207.3119635142393","1207.3119635142393"
"47","1202.1850974175804","1202.1850974175804","1202.1850974175804","1207.1942106362796","1207.1942106362796","1207.1942106362796","1204.440404403072","1204.440404403072","1204.440404403072"
"49","1202.3926182286561","1202.3926182286561","1202.3926182286561","1206.6565706672561","1206.6565706672561","1206.6565706672561","1201.976190207668","1201.976190207668","1201.976190207668"
"51","1203.3152041122735","1203.3152041122735","1203.3152041122735","1206.640604251351","1206.640604251351","1206.640604251351","1202.1424276163984","1202.1424276163984","1202.1424276163984"
"53","1205.0336471820965","1205.0336471820965","1205.0336471820965","1207.7718261624045","1207.7718261624045","1207.7718261624045","1201.612787587318","1201.612787587318","1201.612787587318"
"55","1205.7456719632073","1205.7456719632073","1205.7456719632073","1207.810530581281","1207.810530581281","1207.810530581281","1202.091849144988","1202.091849144988","1202.091849144988"
"57","1207.1505350475704","1207.1505350475704","1207.1505350475704","1206.1538066156713","1206.1538066156713","1206.1538066156713","1200.8678665834302","1200.8678665834302","1200.8678665834302"
"59","1209.4532475519168","1209.4532475519168","1209.4532475519168","1204.8205262698734","1204.8205262698734","1204.8205262698734","1202.7056983026198","1202.7056983026198","1202.7056983026198"
"61","1209.4045333628344","1209.4045333628344","1209.4045333628344","1205.027150380883","1205.027150380883","1205.027150380883","1201.9503485412645","1201.9503485412645","1201.9503485412645"
"63","1208.4950099819825","1208.4950099819825","1208.4950099819825","1204.5993269399748","1204.5993269399748","1204.5993269399748","1198.5217596864427","1198.5217596864427","1198.5217596864427"
"65","1205.3947126434234","1205.3947126434234","1205.3947126434234","1204.8089168663269","1204.8089168663269","1204.8089168663269","1198.3530361759958","1198.3530361759958","1198.3530361759958"
"67","1203.591972209754","1203.591972209754","1203.591972209754","1205.5373867528524","1205.5373867528524","1205.5373867528524","1196.842879492366","1196.842879492366","1196.842879492366"
"69","1202.4855655150611","1202.4855655150611","1202.4855655150611","1205.813746047349","1205.813746047349","1205.813746047349","1194.8892693555008","1194.8892693555008","1194.8892693555008"
"71","1199.6563733413404","1199.6563733413404","1199.6563733413404","1206.689191459367","1206.689191459367","1206.689191459367","1192.600557483326","1192.600557483326","1192.600557483326"
"73","1198.1530717672342","1198.1530717672342","1198.1530717672342","1205.180164159054","1205.180164159054","1205.180164159054","1191.4865869140558","1191.4865869140558","1191.4865869140558"
"75","1196.9648070613518","1196.9648070613518","1196.9648070613518","1206.4398314726427","1206.4398314726427","1206.4398314726427","1192.5563856244266","1192.5563856244266","1192.5563856244266"
"77","1196.439712956348","1196.439712956348","1196.439712956348","1206.1735319973445","1206.1735319973445","1206.1735319973445","1190.966402911148","1190.966402911148","1190.966402911148"
"79","1195.6882475866862","1195.6882475866862","1195.6882475866862","1205.4729572178142","1205.4729572178142","1205.4729572178142","1192.9683222555864","1192.9683222555864","1192.9683222555864"
"81","1193.2556291841827","1193.2556291841827","1193.2556291841827","1206.7667388848492","1206.7667388848492","1206.7667388848492","1194.722101545658","1194.722101545658","1194.722101545658"
"83","1191.086806859057","1191.086806859057","1191.086806859057","1208.422162098176","1208.422162098176","1208.422162098176","1194.8233051996076","1194.8233051996076","1194.8233051996076"
"85","1188.5603271454306","1188.5603271454306","1188.5603271454306","1210.024828239087","1210.024828239087","1210.024828239087","1197.1970367323065","1197.1970367323065","1197.1970367323065"
"87","1189.8403390428925","1189.8403390428925","1189.8403390428925","1209.9830245756546","1209.9830245756546","1209.9830245756546","1194.8242406738939","1194.8242406738939","1194.8242406738939"
"89","1187.7553912444284","1187.7553912444284","1187.7553912444284","1210.1188485823557","1210.1188485823557","1210.1188485823557","1195.5835946486702","1195.5835946486702","1195.5835946486702"
"91","1187.923809245503","1187.923809245503","1187.923809245503","1210.903712845718","1210.903712845718","1210.903712845718","1195.1659112779334","1195.1659112779334","1195.1659112779334"
"93","1188.3464745013744","1188.3464745013744","1188.3464745013744","1210.0273250181742","1210.0273250181742","1210.0273250181742","1194.9290765401265","1194.9290765401265","1194.9290765401265"
"95","1190.1282546195905","1190.1282546195905","1190.1282546195905","1210.5158599361503","1210.5158599361503","1210.5158599361503","1194.419871634478","1194.419871634478","1194.419871634478"
"97","1188.9840677150166","1188.9840677150166","1188.9840677150166","1210.1248243354296","1210.1248243354296","1210.1248243354296","1194.1428763441536","1194.1428763441536","1194.1428763441536"
"99","1187.3668675190436","1187.3668675190436","1187.3668675190436","1209.131351932863","1209.131351932863","1209.131351932863","1196.1793677371427","1196.1793677371427","1196.1793677371427"
"101","1187.87624989095","1187.87624989095","1187.87624989095","1208.4171807345826","1208.4171807345826","1208.4171807345826","1195.950053794607","1195.950053794607","1195.950053794607"
"103","1186.324646619464","1186.324646619464","1186.324646619464","1207.0342523184875","1207.0342523184875","1207.0342523184875","1197.6598740335678","1197.6598740335678","1197.6598740335678"
"105","1183.8813952618764","1183.8813952618764","1183.8813952618764","1207.3391811486547","1207.3391811486547","1207.3391811486547","1197.6079746783826","1197.6079746783826","1197.6079746783826"
"107","1182.2354747668862","1182.2354747668862","1182.2354747668862","1205.7936705123743","1205.7936705123743","1205.7936705123743","1198.221459724373","1198.221459724373","1198.221459724373"
"109","1183.2456538325373","1183.2456538325373","1183.2456538325373","1205.6356033125767","1205.6356033125767","1205.6356033125767","1198.9950493093525","1198.9950493093525","1198.9950493093525"
"111","1182.9696405000468","1182.9696405000468","1182.9696405000468","1205.9442739166163","1205.9442739166163","1205.9442739166163","1199.044491190694","1199.044491190694","1199.044491190694"
"113","1183.2272194740328","1183.2272194740328","1183.2272194740328","1205.8311753674489","1205.8311753674489","1205.8311753674489","1198.4489034864237","1198.4489034864237","1198.4489034864237"
"115","1183.0299914024713","1183.0299914024713","1183.0299914024713","1204.8349652337447","1204.8349652337447","1204.8349652337447","1198.670245747068","1198.670245747068","1198.670245747068"
"117","1184.433295154407","1184.433295154407","1184.433295154407","1203.970386474697","1203.970386474697","1203.970386474697","1200.4278620159937","1200.4278620159937","1200.4278620159937"
"119","1183.0629037550962","1183.0629037550962","1183.0629037550962","1202.4791355090554","1202.4791355090554","1202.4791355090554","1200.1135079211047","1200.1135079211047","1200.1135079211047"
"121","1182.1746083825894","1182.1746083825894","1182.1746083825894","1200.9838448557064","1200.9838448557064","1200.9838448557064","1200.7652445459426","1200.7652445459426","1200.7652445459426"
"123","1179.7756402471782","1179.7756402471782","1179.7756402471782","1198.1543002907983","1198.1543002907983","1198.1543002907983","1200.7042064797545","1200.7042064797545","1200.7042064797545"
