"Step","lyric-armadillo-72penalty_weight0 - custom_metrics.total_energy_costs_mean","lyric-armadillo-72penalty_weight0 - custom_metrics.total_energy_costs_mean__MIN","lyric-armadillo-72penalty_weight0 - custom_metrics.total_energy_costs_mean__MAX","magic-serenity-71penalty_weight0 - custom_metrics.total_energy_costs_mean","magic-serenity-71penalty_weight0 - custom_metrics.total_energy_costs_mean__MIN","magic-serenity-71penalty_weight0 - custom_metrics.total_energy_costs_mean__MAX","dry-microwave-70penalty_weight0 - custom_metrics.total_energy_costs_mean","dry-microwave-70penalty_weight0 - custom_metrics.total_energy_costs_mean__MIN","dry-microwave-70penalty_weight0 - custom_metrics.total_energy_costs_mean__MAX"
"53","1216.3992414767513","1216.3992414767513","1216.3992414767513","1206.1032019344434","1206.1032019344434","1206.1032019344434","1203.2572728103166","1203.2572728103166","1203.2572728103166"
"55","1215.0330372759736","1215.0330372759736","1215.0330372759736","1207.6187084078767","1207.6187084078767","1207.6187084078767","1202.7386720169418","1202.7386720169418","1202.7386720169418"
"57","1213.6311745424653","1213.6311745424653","1213.6311745424653","1207.8532134209943","1207.8532134209943","1207.8532134209943","1202.8087792963931","1202.8087792963931","1202.8087792963931"
"59","1212.6141429560316","1212.6141429560316","1212.6141429560316","1211.15138142681","1211.15138142681","1211.15138142681","1202.5415463002178","1202.5415463002178","1202.5415463002178"
"61","1213.350046815437","1213.350046815437","1213.350046815437","1212.5087299617535","1212.5087299617535","1212.5087299617535","1202.6095456427595","1202.6095456427595","1202.6095456427595"
"63","1212.6298072193945","1212.6298072193945","1212.6298072193945","1212.5754109997788","1212.5754109997788","1212.5754109997788","1202.8761000948255","1202.8761000948255","1202.8761000948255"
"65","1213.144366182001","1213.144366182001","1213.144366182001","1212.4208368081675","1212.4208368081675","1212.4208368081675","1205.055562970572","1205.055562970572","1205.055562970572"
"67","1213.1591887821214","1213.1591887821214","1213.1591887821214","1212.2667697537688","1212.2667697537688","1212.2667697537688","1207.0307604292439","1207.0307604292439","1207.0307604292439"
"69","1212.92080277207","1212.92080277207","1212.92080277207","1211.4570076145017","1211.4570076145017","1211.4570076145017","1207.445515108891","1207.445515108891","1207.445515108891"
"71","1212.8523882827062","1212.8523882827062","1212.8523882827062","1210.2497150172262","1210.2497150172262","1210.2497150172262","1205.636781227676","1205.636781227676","1205.636781227676"
"73","1212.6175059582126","1212.6175059582126","1212.6175059582126","1211.192946385561","1211.192946385561","1211.192946385561","1202.6641494263042","1202.6641494263042","1202.6641494263042"
"75","1212.4754486329293","1212.4754486329293","1212.4754486329293","1210.0479279166796","1210.0479279166796","1210.0479279166796","1199.7515358314627","1199.7515358314627","1199.7515358314627"
"77","1212.08416706388","1212.08416706388","1212.08416706388","1207.720607058191","1207.720607058191","1207.720607058191","1196.6914227613233","1196.6914227613233","1196.6914227613233"
"79","1211.507974899642","1211.507974899642","1211.507974899642","1204.6429162467994","1204.6429162467994","1204.6429162467994","1196.1153185384196","1196.1153185384196","1196.1153185384196"
"81","1210.517794607579","1210.517794607579","1210.517794607579","1202.7839147801621","1202.7839147801621","1202.7839147801621","1195.6185995290318","1195.6185995290318","1195.6185995290318"
"83","1208.7376005247013","1208.7376005247013","1208.7376005247013","1199.4215497992852","1199.4215497992852","1199.4215497992852","1197.5083555994559","1197.5083555994559","1197.5083555994559"
"85","1207.2864973764888","1207.2864973764888","1207.2864973764888","1197.2256656383345","1197.2256656383345","1197.2256656383345","1200.0506345228684","1200.0506345228684","1200.0506345228684"
