"Step","peach-sun-81penalty_weight0.75 - custom_metrics.total_energy_costs_mean","peach-sun-81penalty_weight0.75 - custom_metrics.total_energy_costs_mean__MIN","peach-sun-81penalty_weight0.75 - custom_metrics.total_energy_costs_mean__MAX","mild-dew-80penalty_weight0.75 - custom_metrics.total_energy_costs_mean","mild-dew-80penalty_weight0.75 - custom_metrics.total_energy_costs_mean__MIN","mild-dew-80penalty_weight0.75 - custom_metrics.total_energy_costs_mean__MAX","lilac-microwave-79penalty_weight0.75 - custom_metrics.total_energy_costs_mean","lilac-microwave-79penalty_weight0.75 - custom_metrics.total_energy_costs_mean__MIN","lilac-microwave-79penalty_weight0.75 - custom_metrics.total_energy_costs_mean__MAX"
"21","1217.798095448367","1217.798095448367","1217.798095448367","1219.7747450959316","1219.7747450959316","1219.7747450959316","1208.7238449694978","1208.7238449694978","1208.7238449694978"
"23","1216.094590163416","1216.094590163416","1216.094590163416","1218.63874198881","1218.63874198881","1218.63874198881","1205.603223690615","1205.603223690615","1205.603223690615"
"25","1215.658956784777","1215.658956784777","1215.658956784777","1217.8322382021045","1217.8322382021045","1217.8322382021045","1206.230513117552","1206.230513117552","1206.230513117552"
"27","1214.590721560198","1214.590721560198","1214.590721560198","1217.2639664095832","1217.2639664095832","1217.2639664095832","1204.6126022031162","1204.6126022031162","1204.6126022031162"
"29","1213.9409046148494","1213.9409046148494","1213.9409046148494","1214.6861489079236","1214.6861489079236","1214.6861489079236","1206.3136833454498","1206.3136833454498","1206.3136833454498"
"31","1210.4141165913327","1210.4141165913327","1210.4141165913327","1212.820447722603","1212.820447722603","1212.820447722603","1209.4402398109808","1209.4402398109808","1209.4402398109808"
"33","1211.233354233966","1211.233354233966","1211.233354233966","1213.2575765496092","1213.2575765496092","1213.2575765496092","1209.2570131112304","1209.2570131112304","1209.2570131112304"
"35","1211.2236513575872","1211.2236513575872","1211.2236513575872","1211.9933670860064","1211.9933670860064","1211.9933670860064","1211.240330141922","1211.240330141922","1211.240330141922"
"37","1212.0892137528838","1212.0892137528838","1212.0892137528838","1211.4062140974174","1211.4062140974174","1211.4062140974174","1212.047001001991","1212.047001001991","1212.047001001991"
"39","1212.0456842241674","1212.0456842241674","1212.0456842241674","1211.8655883459237","1211.8655883459237","1211.8655883459237","1213.0865947371744","1213.0865947371744","1213.0865947371744"
"41","1212.3059190757654","1212.3059190757654","1212.3059190757654","1211.0029978348134","1211.0029978348134","1211.0029978348134","1212.4934882416155","1212.4934882416155","1212.4934882416155"
"43","1214.3382418465715","1214.3382418465715","1214.3382418465715","1211.05377278503","1211.05377278503","1211.05377278503","1211.6613266744632","1211.6613266744632","1211.6613266744632"
"45","1213.1061660650498","1213.1061660650498","1213.1061660650498","1210.6586763978883","1210.6586763978883","1210.6586763978883","1208.1712348421147","1208.1712348421147","1208.1712348421147"
"47","1213.1188112494858","1213.1188112494858","1213.1188112494858","1210.058336504725","1210.058336504725","1210.058336504725","1206.729245304548","1206.729245304548","1206.729245304548"
"49","1211.9188697189993","1211.9188697189993","1211.9188697189993","1209.649361175206","1209.649361175206","1209.649361175206","1204.6873348610802","1204.6873348610802","1204.6873348610802"
"51","1211.3769439232537","1211.3769439232537","1211.3769439232537","1207.8183439991146","1207.8183439991146","1207.8183439991146","1203.5536877738086","1203.5536877738086","1203.5536877738086"
"53","1210.733116490185","1210.733116490185","1210.733116490185","1206.6855132281821","1206.6855132281821","1206.6855132281821","1202.412551231153","1202.412551231153","1202.412551231153"
"55","1208.0330727945125","1208.0330727945125","1208.0330727945125","1207.4803516262602","1207.4803516262602","1207.4803516262602","1202.7284578120552","1202.7284578120552","1202.7284578120552"
"57","1209.144694133451","1209.144694133451","1209.144694133451","1206.8169100230741","1206.8169100230741","1206.8169100230741","1204.0397962638679","1204.0397962638679","1204.0397962638679"
"59","1207.0900855359228","1207.0900855359228","1207.0900855359228","1206.5633186490497","1206.5633186490497","1206.5633186490497","1203.2631936688051","1203.2631936688051","1203.2631936688051"
"61","1207.1590927142265","1207.1590927142265","1207.1590927142265","1206.3359668015294","1206.3359668015294","1206.3359668015294","1204.360193191516","1204.360193191516","1204.360193191516"
"63","1207.7489054872453","1207.7489054872453","1207.7489054872453","1207.8814377911938","1207.8814377911938","1207.8814377911938","1203.247152378544","1203.247152378544","1203.247152378544"
"65","1208.443007020261","1208.443007020261","1208.443007020261","1207.7760169927615","1207.7760169927615","1207.7760169927615","1201.8412377911934","1201.8412377911934","1201.8412377911934"
"67","1208.4947443373262","1208.4947443373262","1208.4947443373262","1207.8962904795017","1207.8962904795017","1207.8962904795017","1200.191216844201","1200.191216844201","1200.191216844201"
"69","1208.701355950311","1208.701355950311","1208.701355950311","1208.5770883016717","1208.5770883016717","1208.5770883016717","1197.846681730252","1197.846681730252","1197.846681730252"
"71","1209.2833021651861","1209.2833021651861","1209.2833021651861","1207.9892700066375","1207.9892700066375","1207.9892700066375","1196.7909881499506","1196.7909881499506","1196.7909881499506"
"73","1209.106588387015","1209.106588387015","1209.106588387015","1207.9652066061885","1207.9652066061885","1207.9652066061885","1194.8138210576221","1194.8138210576221","1194.8138210576221"
"75","1209.4183095900369","1209.4183095900369","1209.4183095900369","1207.3906656983909","1207.3906656983909","1207.3906656983909","1193.394241293422","1193.394241293422","1193.394241293422"
"77","1209.763653513291","1209.763653513291","1209.763653513291","1207.1910923127978","1207.1910923127978","1207.1910923127978","1193.823327945127","1193.823327945127","1193.823327945127"
"79","1211.203062161393","1211.203062161393","1211.203062161393","1207.1629361412267","1207.1629361412267","1207.1629361412267","1195.484378152163","1195.484378152163","1195.484378152163"
"81","1211.002470812656","1211.002470812656","1211.002470812656","1205.6861244523814","1205.6861244523814","1205.6861244523814","1196.179425931662","1196.179425931662","1196.179425931662"
"83","1210.3797225590288","1210.3797225590288","1210.3797225590288","1205.9588972879856","1205.9588972879856","1205.9588972879856","1197.2123451054142","1197.2123451054142","1197.2123451054142"
"85","1209.6682932926635","1209.6682932926635","1209.6682932926635","1205.169873572083","1205.169873572083","1205.169873572083","1198.6449277744412","1198.6449277744412","1198.6449277744412"
"87","1208.7543773872362","1208.7543773872362","1208.7543773872362","1203.3041444131868","1203.3041444131868","1203.3041444131868","1200.222213025887","1200.222213025887","1200.222213025887"
"89","1207.3749990833514","1207.3749990833514","1207.3749990833514","1203.847598656636","1203.847598656636","1203.847598656636","1200.823711954357","1200.823711954357","1200.823711954357"
"91","1205.5627112968991","1205.5627112968991","1205.5627112968991","1203.3602609413026","1203.3602609413026","1203.3602609413026","1199.857001245377","1199.857001245377","1199.857001245377"
"93","1204.731091980908","1204.731091980908","1204.731091980908","1203.5138807977996","1203.5138807977996","1203.5138807977996","1200.987045478395","1200.987045478395","1200.987045478395"
"95","1203.7257375794165","1203.7257375794165","1203.7257375794165","1202.758068258684","1202.758068258684","1202.758068258684","1200.2297939690864","1200.2297939690864","1200.2297939690864"
"97","1202.6066776780353","1202.6066776780353","1202.6066776780353","1202.027477681196","1202.027477681196","1202.027477681196","1200.1999095995193","1200.1999095995193","1200.1999095995193"
