Datum;Anfang;Ende;Deutschland/Luxemburg [€/MWh] Originale Auflösungen;∅ Anrainer DE/LU [€/MWh] Originale Auflösungen;Belgien [€/MWh] Originale Auflösungen;Dänemark 1 [€/MWh] Originale Auflösungen;Dänemark 2 [€/MWh] Originale Auflösungen;Frankreich [€/MWh] Originale Auflösungen;Niederlande [€/MWh] Originale Auflösungen;Norwegen 2 [€/MWh] Originale Auflösungen;Österreich [€/MWh] Originale Auflösungen;Polen [€/MWh] Originale Auflösungen;Schweden 4 [€/MWh] Originale Auflösungen;Schweiz [€/MWh] Originale Auflösungen;Tschechien [€/MWh] Originale Auflösungen;DE/AT/LU [€/MWh] Originale Auflösungen;Italien (Nord) [€/MWh] Originale Auflösungen;Slowenien [€/MWh] Originale Auflösungen;Ungarn [€/MWh] Originale Auflösungen
05.12.2022;00:00;01:00;205,16;223,67;294,51;205,16;205,16;293,51;279;211,72;194,73;159,96;205,16;287,62;123,79;-;293,51;193,33;170,75
05.12.2022;01:00;02:00;195,89;215,21;275,53;195,89;191,19;295,01;299;201,74;187,97;138,57;191,19;287,98;103,2;-;295,01;187,33;158,25
05.12.2022;02:00;03:00;183,22;206,15;267,07;183,22;179,99;295,8;270;188,69;181,14;133,79;179,99;283,92;104;-;295,8;179,23;157,02
05.12.2022;03:00;04:00;181,68;195,62;249,94;181,68;177,32;268,6;256,8;187,49;175,78;133,17;177,32;239,8;103,97;-;268,6;176,27;149,94
05.12.2022;04:00;05:00;163,66;203,59;314,43;163,66;163,66;290;262,59;183,14;192,89;142,93;163,66;265,74;96,77;-;290;187,7;159,48
05.12.2022;05:00;06:00;250,61;247,17;273,9;250,61;244,38;290,9;252,46;244,38;257,34;128,19;244,38;283,7;248,59;-;290,9;260,39;253,67
05.12.2022;06:00;07:00;292;288,43;344,63;263,68;263,68;329,72;298,8;263,68;310,1;193,34;263,68;336,8;304,6;-;329,72;309,45;306,61
05.12.2022;07:00;08:00;368,99;335,35;413,61;297,07;297,07;392,96;333,08;279,57;375,05;209,79;297,07;421,49;372,08;-;375,06;375,06;373,31
05.12.2022;08:00;09:00;406,33;353,17;468,1;288,62;288,62;439,6;357;280,25;402,81;215,97;288,62;444,55;410,73;-;439,6;422,54;447,05
05.12.2022;09:00;10:00;400,49;355,43;436,9;300,01;300,01;426,18;376,8;291,31;410,19;215,97;300,01;445,99;406,35;-;410,19;410,19;407,84
05.12.2022;10:00;11:00;399,65;355,88;426,86;313,03;313,03;414,71;377,4;303,95;403,55;215,97;313,03;431,42;401,7;-;403,56;403,56;402,47
05.12.2022;11:00;12:00;421,93;371,96;443,08;328,9;328,9;433,5;404,75;319,36;424,93;221,56;328,9;434,18;423,5;-;433,5;424,94;424,1
05.12.2022;12:00;13:00;404,91;359,98;404,91;323,7;323,7;404,91;404,91;314,31;404,91;223,74;323,7;426,1;404,91;-;404,91;404,91;404,91
05.12.2022;13:00;14:00;392,96;353,77;392,96;320;320;392,96;392,96;310,72;392,96;223,65;320;432,34;392,96;-;392,96;392,96;392,96
05.12.2022;14:00;15:00;413,46;369,04;413,46;335,93;335,93;413,46;413,46;326,19;413,46;223,84;335,93;434,32;413,46;-;413,46;413,46;413,46
05.12.2022;15:00;16:00;429,91;395,94;429,91;410,09;410,09;429,91;429,91;313,8;429,91;225,47;410,09;436,22;429,91;-;429,91;429,91;429,91
05.12.2022;16:00;17:00;430,73;400,03;430,73;420,4;420,4;430,67;430,7;319,37;430,58;225,41;420,4;440,81;430,91;-;430,67;429,77;431,42
05.12.2022;17:00;18:00;444,98;417,6;444,98;444,98;444,98;444,98;444,98;349,01;444,98;224,01;444,98;460,75;444,98;-;444,98;444,98;444,98
05.12.2022;18:00;19:00;433,15;414,41;474,35;422,76;422,76;455,21;406;393,01;438,5;230,42;422,76;456,95;435,82;-;455,21;438,54;436,93
05.12.2022;19:00;20:00;427,92;402,63;473,87;417,65;417,65;452,19;397,8;319,36;433,87;221,76;417,65;446,21;430,89;-;440,5;433,91;432,12
05.12.2022;20:00;21:00;392,3;367,92;395;382,89;382,89;393,73;390;307,55;392,65;212,58;382,89;414,42;392,48;-;393,73;392,65;392,55
05.12.2022;21:00;22:00;333,11;319,25;333,11;333,11;325,12;333,11;333,11;302,94;333,11;186,98;325,12;372,94;333,11;-;333,11;333,11;333,11
05.12.2022;22:00;23:00;324,56;303,75;324,56;296,95;296,95;324,56;324,56;288,34;324,56;195,48;296,95;343,82;324,56;-;324,56;324,56;324,56
05.12.2022;23:00;00:00;292,62;285,37;303,46;292,62;285,6;310,62;294,22;274,94;295,08;181,6;285,6;321,85;293,52;-;310,62;296,1;294,59
