Datum;Anfang;Ende;Deutschland/Luxemburg [€/MWh] Originale Auflösungen;∅ Anrainer DE/LU [€/MWh] Originale Auflösungen;Belgien [€/MWh] Originale Auflösungen;Dänemark 1 [€/MWh] Originale Auflösungen;Dänemark 2 [€/MWh] Originale Auflösungen;Frankreich [€/MWh] Originale Auflösungen;Niederlande [€/MWh] Originale Auflösungen;Norwegen 2 [€/MWh] Originale Auflösungen;Österreich [€/MWh] Originale Auflösungen;Polen [€/MWh] Originale Auflösungen;Schweden 4 [€/MWh] Originale Auflösungen;Schweiz [€/MWh] Originale Auflösungen;Tschechien [€/MWh] Originale Auflösungen;DE/AT/LU [€/MWh] Originale Auflösungen;Italien (Nord) [€/MWh] Originale Auflösungen;Slowenien [€/MWh] Originale Auflösungen;Ungarn [€/MWh] Originale Auflösungen
28.11.2022;00:00;01:00;129,22;181,38;241;126,12;126,12;248,98;320;126,12;160,76;165,71;126,12;222,72;131,5;-;255,2;162,73;145
28.11.2022;01:00;02:00;130,46;155,49;174,48;126,41;126,41;165,43;228,5;126,41;140,52;152,58;126,41;210,79;132,48;-;245;140,6;135,9
28.11.2022;02:00;03:00;127,7;156,7;189,93;123,74;122,46;203,85;209,9;123,74;146,67;149,37;122,46;203,89;127,72;-;236,38;148,28;136,51
28.11.2022;03:00;04:00;119,58;150,81;178,98;119,58;115,45;172,16;245,9;119,58;134,35;143,83;115,45;191,8;121,82;-;226,1;134,69;127,23
28.11.2022;04:00;05:00;120,07;149,94;175,1;116,35;116,35;164,78;225,04;116,35;136,6;160,75;116,35;194,76;126,91;-;236,38;136,48;130,93
28.11.2022;05:00;06:00;129,5;171,23;204,47;120,08;120,08;198,17;269,4;120,08;165,18;187,96;120,08;226,03;152;-;259,92;169,08;167,5
28.11.2022;06:00;07:00;193,09;212,46;255,21;147,02;147,02;267,36;246,7;147,02;250,05;207,54;147,02;279,71;242,38;-;289,99;261,37;268,57
28.11.2022;07:00;08:00;304,17;259,31;324,02;182;182;335,89;275;182;340,06;205,71;182;318,07;325,68;-;335,89;335,89;335,55
28.11.2022;08:00;09:00;354,63;289,59;369,64;204,08;204,08;365,15;350;204,08;360,06;218,68;204,08;346,65;358,98;-;365,15;365,15;361,15
28.11.2022;09:00;10:00;367,7;293,63;367,7;206,79;206,79;367,7;367,7;206,79;367,7;220,63;206,79;343,68;367,7;-;367,7;367,7;367,7
28.11.2022;10:00;11:00;370;301,94;370;227,96;227,96;370;370;227,96;370;211,23;227,96;348,23;370;-;370;370;370
28.11.2022;11:00;12:00;365,91;301,65;365,91;233,19;233,19;365,91;365,91;233,19;365,91;209,93;233,19;345,91;365,91;-;365,91;365,91;365,91
28.11.2022;12:00;13:00;360,1;298,7;360,1;232,37;232,37;360,1;360,1;232,37;360,1;214,19;232,37;341,48;360,1;-;360,1;360,1;360,1
28.11.2022;13:00;14:00;367,2;303,39;367,2;232,34;232,34;367,2;367,2;232,34;367,2;222,81;232,34;349,17;367,2;-;367,2;367,2;367,2
28.11.2022;14:00;15:00;383,91;311,8;383,91;232,31;232,31;383,91;383,91;232,31;383,91;221,82;232,31;359,15;383,91;-;383,91;383,91;383,91
28.11.2022;15:00;16:00;397,91;319,13;397,91;232,9;232,9;397,91;397,91;232,9;397,91;225,77;232,9;363,48;397,91;-;397,91;397,91;397,91
28.11.2022;16:00;17:00;392,6;322,89;392,99;245,47;245,47;393,24;392,85;238,35;390,21;235,43;245,47;380,59;391,7;-;407,3;404,42;404,75
28.11.2022;17:00;18:00;415,58;336,04;415,58;249,98;249,98;415,58;415,58;242,73;415,58;227,5;249,98;398,42;415,58;-;415,58;415,58;415,58
28.11.2022;18:00;19:00;398,97;326,7;409,61;241,15;241,15;415,7;400,62;234,16;401,92;210,19;241,15;398,19;399,84;-;415,7;402,2;400,84
28.11.2022;19:00;20:00;374,7;312,45;408,87;219,77;219,77;428,45;380,01;219,77;384,18;207,12;219,77;371,77;377,5;-;428,45;385,09;380,73
28.11.2022;20:00;21:00;329,04;282,04;361,14;202,3;202,3;375;335,46;202,3;340,04;199,7;202,3;348,05;333,8;-;375;340,41;336,64
28.11.2022;21:00;22:00;312;255,25;312;190,13;190,13;312;312;190,13;312;183,02;190,13;304,19;312;-;312;312;312
28.11.2022;22:00;23:00;294,98;242,2;294,98;177,63;177,63;294,98;294,98;177,63;294,98;188,36;177,63;290,39;294,98;-;294,98;294,98;294,98
28.11.2022;23:00;00:00;260,26;219,1;274,69;168,14;141,41;282,9;262,62;168,14;263,44;175,81;141,41;270,01;261,49;-;282,9;264,68;262,83
29.11.2022;00:00;01:00;271,88;239,09;271,77;209,66;209,66;271,7;271,81;209,66;271,82;167,79;209,66;264,14;272,34;-;275,09;269,86;273,83
29.11.2022;01:00;02:00;250,09;228,93;261,71;204,93;204,93;267,9;251,82;204,93;252,77;161,34;204,93;252,03;250,95;-;267,9;254,39;251,75
29.11.2022;02:00;03:00;228,17;221,61;245,93;209,93;209,93;255,38;231,07;209,93;232,28;164,42;209,93;239,4;229,46;-;255,38;234,88;230,61
29.11.2022;03:00;04:00;226,24;215,1;226,31;209,77;209,77;226,38;226,27;209,77;226,47;163,09;209,77;232,51;226,01;-;243,2;227,58;225,48
29.11.2022;04:00;05:00;235,17;218,95;235,24;209,92;209,92;235,32;235,2;209,92;235,42;156,66;209,92;236;234,9;-;243;236,69;234,26
29.11.2022;05:00;06:00;271,89;244,35;270,83;222,02;222,02;271,44;268,4;222,02;271,94;176,66;222,02;268,54;271,98;-;271,94;271,92;271,96
29.11.2022;06:00;07:00;303,99;273,07;291,53;259,67;259,67;295,71;253,82;245,7;301,05;201,73;259,67;332,1;303,14;-;295,71;301,4;302,43
29.11.2022;07:00;08:00;396,22;374,62;396,22;386,71;386,71;396,22;396,22;375,49;396,22;203,6;386,71;400,53;396,22;-;396,22;396,22;396,22
29.11.2022;08:00;09:00;444,92;423,26;444,92;443,55;443,55;444,92;444,92;430,68;444,92;211,01;443,55;458,91;444,92;-;444,92;444,92;444,92
29.11.2022;09:00;10:00;445,32;423,47;445,32;445,32;445,32;445,32;445,32;431,07;445,32;213,51;445,32;451,07;445,32;-;445,32;445,32;445,32
29.11.2022;10:00;11:00;445,91;421,97;445,91;445,91;445,91;445,91;445,9;431,63;445,91;204,89;445,91;437,85;445,91;-;445,91;445,91;446,96
29.11.2022;11:00;12:00;435,6;412,18;435,6;435,6;435,6;435,6;435,6;421,66;435,6;206,88;435,6;420,68;435,6;-;435,6;435,6;435,6
29.11.2022;12:00;13:00;418,05;398,99;418,05;418,05;418,05;418,05;418,05;404,67;418,05;224,85;418,05;414,99;418,05;-;418,05;418,05;418,05
29.11.2022;13:00;14:00;424,26;405,56;424,26;424,26;424,26;424,26;424,26;410,69;424,26;241,24;424,26;415,1;424,26;-;424,26;424,26;424,26
29.11.2022;14:00;15:00;446,38;424,39;446,38;446,38;446,38;446,38;446,38;432,1;446,38;244,87;446,38;420,3;446,38;-;446,38;446,38;446,38
29.11.2022;15:00;16:00;450,7;428,57;450,7;450,7;450,7;450,7;450,7;436,28;450,7;247,06;450,7;425,29;450,7;-;450,7;450,7;450,7
29.11.2022;16:00;17:00;460,04;437,18;460,04;460,04;460,04;460,04;460,04;445,78;460,04;244,05;460,04;438,84;460,04;-;460,04;460,04;460,04
29.11.2022;17:00;18:00;501,1;475,02;501,1;501,1;501,1;501,1;501,1;485,57;501,1;240,27;501,1;490,6;501,1;-;501,1;501,1;501,1
29.11.2022;18:00;19:00;486,86;462,12;486,86;486,86;486,86;486,86;486,86;470,78;486,86;242,24;486,86;475,46;486,86;-;486,86;486,86;486,86
29.11.2022;19:00;20:00;463,82;439,2;463,82;463,82;463,82;463,82;463,82;448,98;463,82;245,12;452,69;437,62;463,82;-;463,82;463,82;463,82
29.11.2022;20:00;21:00;400;379,79;400;400;400;400;400;387,2;400;204,6;390,4;395,45;400;-;400;400;400
29.11.2022;21:00;22:00;334,9;322,92;334,9;334,9;334,9;334,9;334,9;324,18;334,9;202,91;329,48;351,3;334,9;-;334,9;334,9;334,9
29.11.2022;22:00;23:00;297,66;290,29;297,66;297,66;297,66;297,66;297,66;288,13;297,66;198,53;290,51;332,44;297,66;-;297,66;297,66;297,66
29.11.2022;23:00;00:00;280,25;267,98;277,98;280,25;280,25;282,27;254,86;246,71;278,08;178,82;273,53;313,11;281,9;-;282,27;270,35;284,32
